sample_id,matrix_cells,qc_pass_cells,qc_pass_fraction,cluster_selected_B_cells,cluster_selected_B_fraction_of_qc,cell_margin_selected_B_cells,elastic_confident_fraction_selected,centroid_confident_fraction_selected,minimum_counts,maximum_counts,minimum_genes,maximum_genes,maximum_mito_fraction
JB18074,6041,5939,0.9831153782486344,723,0.12173766627378346,818,0.9612724757952974,0.9322268326417704,2141.0,39989.0,259.0,5366.0,0.1
JB18075,4974,4681,0.9410936871733012,175,0.03738517410809656,147,0.9714285714285714,0.9314285714285714,929.0,15586.0,200.0,3368.0,0.1
JB18076,5777,5671,0.981651376146789,178,0.031387762299418094,270,0.9775280898876404,0.898876404494382,900.0,14142.0,392.0,3103.0,0.10765272690943888
JB18077,7967,7862,0.9868206351198695,1062,0.1350801322818621,1275,0.9764595103578154,0.9792843691148776,1148.0,16741.0,417.0,3328.0,0.1
JB18078,7191,7081,0.9847031010985955,968,0.1367038553876571,1067,0.9834710743801653,0.9152892561983471,1181.0,15127.0,453.0,3062.0,0.1
JB18079,7653,7558,0.9875865673592056,716,0.09473405662873777,843,0.979050279329609,0.9497206703910615,1112.0,16738.0,430.0,3374.0,0.1
JB18080,4534,4396,0.9695632995147773,259,0.0589171974522293,310,0.9845559845559846,0.9768339768339769,890.0,15663.0,200.0,3342.0,0.11947210978253509
JB18081,6896,6596,0.9564965197215777,911,0.13811400848999394,881,0.9780461031833151,0.9517014270032931,966.0,21342.0,200.0,3940.0,0.1
JB18082,7666,7540,0.9835637881554918,1093,0.1449602122015915,1298,0.9780420860018298,0.9579139981701739,1044.0,14278.0,414.0,2932.0,0.1
JB18083,7405,7301,0.9859554355165429,888,0.12162717435967675,988,0.963963963963964,0.9155405405405406,1325.0,20457.0,517.0,3601.0,0.1
JB18084,7325,7185,0.9808873720136518,1014,0.14112734864300627,1087,0.9694280078895463,0.9309664694280079,1112.0,18113.0,502.0,3323.0,0.10017579845682606
JB18085,6272,6188,0.9866071428571429,1100,0.1777634130575307,1278,0.9881818181818182,0.9872727272727273,1076.0,17687.0,456.0,3198.0,0.1
JB18086,6669,6546,0.9815564552406658,864,0.13198900091659027,994,0.9837962962962963,0.9351851851851852,1040.0,15360.0,429.0,3160.0,0.11417420932993083
JB19001,7221,7095,0.9825508932280848,431,0.06074700493305144,544,0.9698375870069605,0.8979118329466357,1079.0,15314.0,443.0,3078.0,0.1
JB19003,7206,7060,0.9797391063003053,434,0.061473087818696884,522,0.9815668202764977,0.988479262672811,1188.0,16159.0,483.0,3222.0,0.10181792823633828
JB19004,4454,4273,0.9593623709025595,81,0.018956236835946643,94,0.9259259259259259,0.7654320987654321,1326.0,30714.0,200.0,4843.0,0.1
JB19006,4825,4490,0.9305699481865285,90,0.0200445434298441,54,0.8666666666666667,0.5777777777777777,1263.0,27311.0,200.0,4879.0,0.1
JB19007,7486,7357,0.9827678332888058,352,0.04784558923474242,493,0.96875,0.9090909090909091,1230.0,20948.0,471.0,3922.0,0.1
JB19008,6220,6091,0.9792604501607717,139,0.02282055491709079,214,0.9496402877697842,0.920863309352518,1102.0,19177.0,436.0,3378.0,0.10465262375818828
JB19009,6666,6537,0.9806480648064807,665,0.1017286216919076,804,0.98796992481203,0.9624060150375939,950.0,15214.0,429.0,3122.0,0.13037575103267052
JB19010,8228,8020,0.9747204666990763,699,0.0871571072319202,722,0.944206008583691,0.7753934191702432,1015.0,12999.0,200.0,2874.0,0.10525700348749742
JB19011,12297,12131,0.9865007725461494,612,0.05044926222075674,877,0.9754901960784313,0.8709150326797386,932.0,11900.0,398.0,2627.0,0.1
JB19013,4592,4538,0.9882404181184669,167,0.03680035257822829,220,0.9820359281437125,0.9041916167664671,1098.0,20927.0,493.0,4019.0,0.1
JB19014,3782,3690,0.9756742464304601,24,0.0065040650406504065,95,0.9583333333333334,0.9583333333333334,988.0,15958.0,200.0,3364.0,0.1
JB19015,6249,4497,0.7196351416226596,137,0.030464754280631532,126,0.9927007299270073,0.9927007299270073,1054.0,14031.0,200.0,2607.0,0.1
